"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.2595850316,0.5211034379,0.3030416974,0.0856982415,0.2943258432,0.1061318877,0.0936613446,0.1884296380,0.4735783400,0.3133518931,0.2295000753,0.6930728690,0.1544591576,0.4026543804,0.0753043610,0.1778690933,0.3496208451,0.1917484296,0.3629032468,0.1337197626,0.2886665197,0.1841245452,0.0000000000,0.0000000000,1.0000000000,0.7005649718,0.2000000000,0.5000000000,3.0000000000,4.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,6.0000000000,no
0.4564947646,0.6220273601,0.2771746132,0.0917741795,0.2907951882,0.1304562313,0.1012496559,0.0000000000,0.4042843585,0.2267962930,0.2821263099,0.6553660395,0.0990440567,0.2367452785,0.0954978824,0.4128139023,0.5055747640,0.2385851326,0.3774193622,0.1301789019,0.2752255528,0.1620483204,0.0000000000,0.0000000000,1.0000000000,0.6610169492,0.2000000000,0.5000000000,4.0000000000,4.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,6.0000000000,no
0.4928551874,0.8358203338,0.2654592511,0.1225804371,0.1737489219,0.1381366737,0.1129624553,0.1961784355,0.3145884563,0.1340870696,0.2900084102,0.5658110846,0.0544574174,0.1935598198,0.0750971267,0.6023002797,0.3494096324,0.3617122909,0.3983870844,0.1251269422,0.2640681044,0.1705697432,0.0000000000,0.0000000000,1.0000000000,0.6158192090,0.2000000000,0.5000000000,5.0000000000,4.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,6.0000000000,no
0.3026737122,0.8586342510,0.0429227192,0.0285211202,0.2174135055,0.1633909857,0.1305380419,0.1059041829,0.5198778569,0.4686700573,0.4124604192,0.7337280252,0.0328810999,0.2143250459,0.5768636061,0.7300695092,0.4157993773,0.3988417476,0.5709677599,0.1242711314,0.2832671042,0.1530147293,0.0000000000,0.0000000000,1.0000000000,0.7401129944,0.4000000000,0.7000000000,0.0000000000,4.0000000000,7.0000000000,0.4000000000,1.0000000000,0.2500000000,6.0000000000,yes
0.5203119963,0.6428579493,0.2459211082,0.0813092449,0.4539282655,0.1418252766,0.1619186175,0.6000477380,0.6943119259,0.6263924995,0.2157126117,0.1050138106,0.2500150637,0.2903522051,0.0961561168,0.6373569285,0.2431189957,0.1926095626,1.0000000000,0.1332028192,1.0000000000,0.4157394652,0.0000000000,0.0000000000,0.0000000000,0.1073446328,0.4000000000,0.7000000000,0.0000000000,4.0000000000,7.0000000000,0.4000000000,1.0000000000,0.2500000000,3.0000000000,yes
0.7315237883,0.5135464690,0.2488142551,0.0942254258,0.5160176447,0.1798745878,0.2002237182,0.5836096469,0.4556940614,0.5121396816,0.2765443549,0.8362818374,0.2452059573,0.2589994382,0.0853306849,0.5470578934,0.1617549928,0.2549899977,0.7370967517,0.1481280223,0.5884121385,0.2735509166,0.0000000000,0.0000000000,0.0000000000,0.8474576271,0.4000000000,0.7000000000,0.0000000000,4.0000000000,7.0000000000,0.4000000000,1.0000000000,0.2500000000,3.0000000000,yes
0.6653607302,0.5053647705,0.3085227872,0.1410006479,0.4911430156,0.2206809059,0.2288592948,0.4957349802,0.5501330916,0.6036272571,0.3558771962,0.8404011438,0.1386836010,0.4521057345,0.0883280517,0.4830759679,0.1885129178,0.3428184536,0.5387096488,0.3065995099,0.3339881829,0.1671523436,0.0000000000,0.0000000000,0.0000000000,0.8474576271,0.6000000000,0.8000000000,0.0000000000,5.0000000000,7.0000000000,0.3600000000,1.0000000000,0.2500000000,3.0000000000,no
0.2109104050,0.4193515609,0.3251003836,0.1559929253,0.5247582793,0.2516420924,0.2437144658,0.3521445658,0.5837486755,0.5644150062,0.3851562512,0.7462014595,0.1023010420,0.1971147021,0.0755941008,0.3769848624,0.2416043970,0.3863458524,0.4564516230,0.2237566034,0.4093256537,0.1575182791,0.0000000000,0.0000000000,0.0000000000,0.7570621469,0.6000000000,0.8000000000,1.0000000000,5.0000000000,7.0000000000,0.3600000000,1.0000000000,0.2500000000,1.0000000000,no
0.2358326523,0.3400447848,0.2817747233,0.1559088097,0.5190291250,0.2831317828,0.2790268415,0.4193856107,0.4888502145,0.5364980830,0.4293283161,0.6112840420,0.1073915736,0.2055216943,0.0960048971,0.3455149343,0.3614278796,0.4447475683,0.2741935372,0.1268773178,0.3626080874,0.1166949242,0.0000000000,0.0000000000,0.0000000000,0.6214689266,0.6000000000,0.8000000000,2.0000000000,6.0000000000,7.0000000000,0.4000000000,1.0000000000,0.2500000000,2.0000000000,no
0.3889511469,0.2679675592,0.2655462208,0.1745227682,0.5465228453,0.3487321418,0.3405682380,0.3891942141,0.5755020341,0.6127741673,0.5243028508,0.7338048793,0.0524443625,0.0551483079,0.0728108443,0.5723428450,0.4249256287,0.5390139989,0.2822580842,0.0792027569,0.2409102410,0.0812493377,0.0000000000,0.0000000000,0.0000000000,0.7401129944,0.8000000000,0.9000000000,3.0000000000,6.0000000000,8.0000000000,0.2800000000,1.0000000000,0.0000000000,18.0000000000,no
0.3012657079,0.1308206161,0.3177050760,0.2206344616,0.4667312295,0.3377255176,0.3245392458,0.4180849288,0.5434576662,0.9956157824,0.5864398471,0.4345221602,0.0282486981,0.2061443472,0.0662019388,0.7889242618,0.4939299566,0.5342518494,0.2790322808,0.0000000000,0.1670908306,0.0598177387,0.0000000000,0.0000000000,0.0000000000,0.4406779661,0.8000000000,0.9000000000,4.0000000000,6.0000000000,8.0000000000,0.2000000000,1.0000000000,0.0000000000,18.0000000000,no
0.1980790107,0.3731065239,0.3549520739,0.2498726712,0.4596384095,0.3396561141,0.3295558192,0.4807307678,0.6130733988,0.6167654342,0.6005477223,0.4549271346,0.0178928430,0.1170120227,0.0519762824,0.9330667151,0.5875792085,0.5266014000,0.3387096826,0.0735733843,0.0852197467,0.0335735227,0.0000000000,0.0000000000,0.0000000000,0.4632768362,0.8000000000,0.9000000000,5.0000000000,6.0000000000,8.0000000000,0.2000000000,1.0000000000,0.2500000000,18.0000000000,no
