"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.3254108637,0.5788093957,0.6123860858,0.3019337367,0.4156075910,0.1371579042,0.1046241781,0.0391274931,0.2858383084,0.4078422194,0.1603029456,0.7739307913,0.2621671114,0.7273304235,0.2914189330,0.3990908918,0.0000000000,0.3238104475,0.4426035732,0.2916021855,0.8718779453,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.7655502392,0.1000000000,0.4500000000,0.0000000000,3.0000000000,4.0000000000,0.3094733966,3.0000000000,0.5000000000,3.0000000000,no
0.3524927845,0.6397226900,0.4974810438,0.3114297510,0.4107366453,0.1504697219,0.1225702973,0.1365530677,0.2421281144,0.3870049399,0.1863908819,0.7512336826,0.1998720454,0.5712533889,0.2959351218,0.3736738192,0.0756533755,0.3473811079,0.2153846219,0.2970614439,0.6436145146,0.6397619296,0.0000000000,0.0000000000,1.0000000000,0.8038277512,0.9000000000,0.9500000000,0.0000000000,7.0000000000,8.0000000000,0.3070172802,3.0000000000,0.5000000000,2.0000000000,no
0.3245458018,0.8641892791,0.3065562532,0.3271816428,0.4087700385,0.1745065504,0.1416437673,0.1709853857,0.0451471493,0.3199908108,0.2128871494,0.7592886816,0.1670746089,0.7110647000,0.2923202476,0.3446251348,0.1988782299,0.4018721729,0.2402366904,0.3051287591,0.5729264844,0.6209668999,0.0000000000,0.0000000000,1.0000000000,0.7799043062,0.9000000000,0.9500000000,1.0000000000,7.0000000000,8.0000000000,0.3080991736,3.0000000000,0.5000000000,13.0000000000,no
0.3402380937,0.9089599139,0.4069668962,0.3492369946,0.4418048443,0.2095952545,0.1680290149,0.1442248536,0.1666085738,0.2567690993,0.2492292598,0.7471058392,0.2359077309,0.3771505141,0.2542458087,0.3159063735,0.2045748169,0.4705981446,0.2153846219,0.3149312905,0.5537818096,0.6084368800,0.0000000000,0.0000000000,1.0000000000,0.7464114833,0.9000000000,0.9500000000,2.0000000000,7.0000000000,8.0000000000,0.3090909091,3.0000000000,0.5000000000,13.0000000000,no
0.2753186343,0.8965671892,0.4817021210,0.3767495522,0.5220353873,0.2725948582,0.2114193084,0.0241332273,0.1031520373,0.2959424208,0.2863745349,0.7529986696,0.2664635057,0.6608772245,0.2398834893,0.2958756453,0.2267268613,0.5637023690,0.1710059236,0.3259225434,0.7201932139,0.8433747520,0.0000000000,0.0000000000,1.0000000000,0.7511961722,0.9000000000,0.9500000000,3.0000000000,7.0000000000,8.0000000000,0.4000000000,3.0000000000,0.5000000000,13.0000000000,no
0.3124859885,0.8449679693,0.5998993392,0.3627244425,0.4703350789,0.2766745677,0.2148145909,0.0239771767,0.1215350321,0.3033099687,0.3164416103,0.6350198311,0.2659448939,0.3745000354,0.2613944044,0.2911342161,0.2639926242,0.6156834695,0.1656804849,0.2996816483,0.7305018850,0.7493996032,0.0000000000,0.0000000000,1.0000000000,0.6363636364,0.9000000000,0.9500000000,4.0000000000,7.0000000000,8.0000000000,0.3200000000,2.0000000000,0.5000000000,13.0000000000,yes
0.4149470530,0.6195638965,0.5935962380,0.2931940758,0.5719776748,0.2341267234,0.2179452345,0.3095786001,0.0869038752,0.4812034107,0.2562160710,0.2332676270,0.2588334405,0.7335640123,0.4807799377,0.2971896383,0.3197890234,0.4153281206,0.1301775178,0.2747081776,0.7481738926,0.7634958755,1.0000000000,0.0000000000,1.0000000000,0.2296650718,0.9000000000,0.9500000000,5.0000000000,7.0000000000,8.0000000000,0.3200000000,2.0000000000,0.5000000000,13.0000000000,yes
0.5187206918,0.4396451450,0.4026796043,0.4663608117,0.6209114941,0.1586638256,0.1978473829,1.0000000000,0.2668684814,1.0000000000,0.1827407459,0.0000000000,0.3527865106,0.3523635356,0.2924590776,0.8246415771,0.4293172115,0.1940401027,0.5792899605,0.2567321579,0.8026625825,0.7728933904,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9000000000,0.9500000000,6.0000000000,7.0000000000,8.0000000000,0.3200000000,2.0000000000,0.5000000000,13.0000000000,yes
0.6393774569,0.3211228972,0.7891967548,0.4998762891,0.6253045367,0.1857849197,0.2150367674,0.8709553756,0.2871546384,0.7816196875,0.2306004394,0.5834172593,0.0470037335,0.1002454130,0.2710687492,0.6904121864,0.4856707949,0.1995891404,0.5029585876,0.2505703150,0.4182964185,0.3312101911,0.0000000000,0.0000000000,0.0000000000,0.5837320574,0.9000000000,0.9500000000,7.0000000000,7.0000000000,8.0000000000,0.3200000000,2.0000000000,0.5000000000,13.0000000000,no
0.4426965555,0.1612037985,0.4374346439,0.4657765183,0.8195019618,0.2376980700,0.2469839042,0.7549644408,0.3129955438,0.4906230737,0.2207677026,0.5778221980,0.0988496724,0.1448281750,0.3015717605,0.5381720430,0.4864428765,0.2112805999,0.4000000212,0.2676847932,0.3372997172,0.2200062650,0.0000000000,0.0000000000,0.0000000000,0.5789473684,0.9000000000,0.9500000000,8.0000000000,7.0000000000,8.0000000000,0.2800000000,2.0000000000,0.5000000000,13.0000000000,no
