"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.0000000000,0.0000000000,0.3015168327,0.0645113208,0.5534977931,0.0950160959,0.0842611968,0.6037626701,0.1049077307,0.4522078642,0.0858788824,0.7482244774,0.2190242704,0.6820768203,0.3841527198,0.0000000000,0.2573708475,0.1187061854,0.3832708831,0.3997760188,0.2516378797,0.4297182433,0.0000000000,1.0000000000,0.0000000000,0.7185628743,0.0000000000,0.3000000000,25.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.3471196764,0.0799216683,0.4553372461,0.1118613521,0.1014709900,0.6486560746,0.1038229968,0.2727184109,0.1096282807,0.5803775986,0.2175764720,0.4487944809,0.4306226132,0.0462025963,0.2063801132,0.1581389858,0.1273408328,0.4080128243,0.2779432202,0.4257830946,0.0000000000,1.0000000000,0.0000000000,0.5329341317,0.0000000000,0.3000000000,26.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.4918713067,0.0937855785,0.3949563603,0.1239832603,0.1119675383,0.6617668482,0.0755744141,0.0223634703,0.1306188639,0.5777739257,0.1695543545,0.3388721053,0.4132336321,0.1588551687,0.1255116127,0.1940216778,0.2977527844,0.4221728952,0.0836807624,0.2594837085,0.0000000000,1.0000000000,0.0000000000,0.5269461078,0.0000000000,0.3000000000,27.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.2355717966,0.1142024887,0.4050578583,0.1470595945,0.1306420870,0.5676057831,0.1375778648,0.1569115262,0.1493534795,0.8360326552,0.1706377133,0.3252055711,0.2678507267,0.2894437813,0.1611793405,0.2229791350,0.2940074697,0.4208455953,0.0164780623,0.2058082796,0.0000000000,1.0000000000,0.0000000000,0.8203592814,0.0000000000,0.3000000000,28.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.2810149543,0.1380034480,0.4185036889,0.1776919191,0.1641464040,0.7500542483,0.1605326813,0.3055044233,0.1826708990,0.8165307323,0.2041289345,0.5101824171,0.2750267263,0.4269286342,0.0000000000,0.2622032190,0.2865168404,0.4233937206,0.0748461386,0.2719974815,0.0000000000,1.0000000000,0.0000000000,0.7964071856,0.0000000000,0.3000000000,29.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.3549312345,0.1633482366,0.5589091729,0.2333464334,0.2141562341,0.7720506253,0.2208548638,0.3822152445,0.2192923822,0.6064724042,0.1471450071,0.3266217637,0.2621874778,0.5297630215,0.0154364927,0.3121063177,0.3370786331,0.5062163032,0.1333134802,0.3194553754,0.0000000000,1.0000000000,0.0000000000,0.5628742515,0.0000000000,0.3000000000,30.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.5094707027,0.1829774434,0.5082637009,0.2482873411,0.2279566944,0.7320090711,0.2231837141,0.3158471696,0.2452061520,0.6223322356,0.1332107259,0.3665821541,0.2446300794,0.6319616168,0.1499569608,0.3923349773,0.3876404259,0.5697425275,0.1203097082,0.3105619392,0.0000000000,1.0000000000,0.0000000000,0.5808383234,0.0000000000,0.3000000000,31.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.5579202627,0.1695492596,0.4552240646,0.2505807359,0.2284626706,0.7521966636,0.2641541646,0.4621432337,0.2562653310,0.6675995988,0.1588364018,0.3813127991,0.4140951266,0.7311251021,0.1128182806,0.4143010588,0.1872659123,0.6015562872,0.1277546158,0.3163859594,1.0000000000,1.0000000000,0.0000000000,0.6287425150,0.0000000000,0.3000000000,32.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.9185619299,0.1784319654,0.3986389654,0.2007802002,0.1921970080,0.8854120126,0.0828954824,0.1268809188,0.2241610189,0.1045976396,0.0650297508,1.0000000000,0.5607652967,0.8034686729,0.2532944309,0.3498544542,0.3576779085,0.7351866122,0.2610680961,0.4233433024,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3000000000,33.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,1.0000000000,0.1831778080,0.5158195565,0.2226683223,0.2052135390,0.7871942560,0.2346508196,0.6989488683,0.2307670653,0.5284013192,0.0767690503,0.3270814816,0.6326187374,0.7682976764,0.2328356984,0.3196624924,0.6273407882,0.6742784800,0.0655151876,0.1474893751,0.0000000000,1.0000000000,0.0000000000,0.4730538922,0.0000000000,0.3000000000,34.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.2383911921,0.1901972445,0.6496805524,0.2742328081,0.2441185955,0.6558882873,0.2713836622,0.4800714753,0.2386567564,0.7062918140,0.1323203368,0.0000000000,0.4879824343,0.7156766123,0.4467492409,0.3330737096,0.4119850159,0.5966843338,0.0694858050,0.1501652762,0.0000000000,1.0000000000,0.0000000000,0.6706586826,0.0000000000,0.3000000000,35.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.7932723417,0.1793718678,0.5773121148,0.2417716903,0.2212467043,0.7278515081,0.2849032557,0.5872110233,0.2361812042,0.1646180510,0.1172678278,0.2448275164,0.6098801394,0.6407332175,0.6584376585,0.2967210009,0.4232209599,0.8178883673,0.0474488783,0.1320635920,0.0000000000,1.0000000000,0.0000000000,0.0658682635,0.0000000000,0.3000000000,36.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.6666725553,0.1951326786,0.5794915024,0.2481708725,0.2296139868,0.7373668379,0.2112417045,0.1154809047,0.2413080605,0.4322203781,0.0599007561,0.0531778168,0.4684494036,0.5300159171,0.7025461634,0.2641162119,0.7771535537,0.6663138939,0.0114155251,0.0705965686,0.0000000000,1.0000000000,0.0000000000,0.3652694611,0.0000000000,0.3000000000,37.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.7577872427,0.2289188659,0.7113977413,0.2765681785,0.2671705179,0.9391711979,0.2624915231,0.5304988589,0.2572262847,0.4657037143,0.0970577366,0.3127896459,0.3880247012,0.4125648657,0.6209453185,0.2578574226,0.8295879591,0.6984783636,0.0067500496,0.0359672596,0.0000000000,1.0000000000,0.0000000000,0.4011976048,0.0000000000,0.3000000000,38.0000000000,3.0000000000,4.0000000000,0.1200000000,1.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.1793275738,0.2682682502,0.8280960694,0.3511845157,0.3332182973,0.8322966776,0.2443483512,0.6740918417,0.2864504057,0.7546052335,0.1447573202,0.2565362987,0.2969559619,0.3516768585,0.4112379539,0.2988793418,0.8127340877,0.5929124173,0.0059559261,0.0266016055,0.0000000000,1.0000000000,0.0000000000,0.7245508982,0.0000000000,0.3000000000,39.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.3784221680,0.2769238143,0.9188748613,0.4069096962,0.3901687069,0.9168649778,0.1039867820,0.4402989058,0.3257499768,0.6167024182,0.0936377469,0.2552235786,0.3554435901,0.2792300123,0.3305403170,0.3175216566,0.7659176097,0.5170582803,0.0059559261,0.0301432394,0.0000000000,1.0000000000,0.0000000000,0.5748502994,0.2000000000,0.4000000000,40.0000000000,3.0000000000,7.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
