"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (in %),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0,0,0.5148704781,0.1262056022,0.9717273976,0.7686225234,0.7547921049,0.4526370676,0.347559042,0.4956267378,0.1739038445,0.4055472982,0.05936051504,0.1446389978,0.06137426972,0.3031296728,0.3000312917,0.1171335056,0.3490774844,0.7544709665,0.03881923598,0,0,1,0,0.436123348,0.8979591837,0.8265306122,0.5431034483,0.9578947368,0.9479166667,0.5833333333,0,0.3333333333,0.4468085106,0.0000000
0,0,0.575803915,0.1178726734,1,0.8306575019,0.8136003514,0.4513523941,0.5935947966,0.4849212666,0.1834529471,0.4631356443,0.06145187669,0.1520402772,0.07251487375,0.3260509828,0.314583662,0.1167065787,0.3612546208,0.8342400129,0.03881923598,0,0,1,0,0.4977973568,0.8979591837,0.8265306122,0.5517241379,0.9578947368,0.9479166667,0.5,0,0.3333333333,0.4468085106,0.0000000
0,0,0.539052751,0.1176995892,0.9609530927,0.8459017801,0.8270726245,0.4486117571,0.3701582574,0.7651988042,0.1902943197,0.4491976369,0.06208242665,0.1392878826,0.07530977938,0.3557598661,0.3293403072,0.1202553413,0.3501844944,0.8954035793,0.03881923598,0,0,1,0,0.4845814978,0.8979591837,0.8265306122,0.5603448276,0.9578947368,0.9479166667,0.5,0,0.3333333333,0.4468085106,0.0000000
0,0,0.5114590922,0.1211120174,0.8751606314,0.8161272874,0.8070683642,0.4898497786,1,1,0.1985132492,0.4338027885,0.05153449753,0.1279857809,0.0730616779,0.4172728271,0.3419591034,0.1217292166,0.3512915044,0.792540487,0.03881923598,0,0,1,0,0.4669603524,0.8979591837,0.8265306122,0.5689655172,0.9578947368,0.9479166667,0.5,0,0.3333333333,0.4468085106,0.0000000
0,0,0.5820480154,0.125756764,0.833686639,0.8079469676,0.7989933195,0.5035743745,0.6514483812,0.7144546686,0.2081230939,0.4250767935,0.04725332572,0.1264765351,0.07187699709,0.4882683997,0.3660356953,0.1211089404,0.3601476108,0.8185526471,0.03881923598,0,0,1,0,0.4581497797,0.8979591837,0.8265306122,0.5775862069,0.9578947368,0.9479166667,0.5,0,0.3333333333,0.4468085106,0.0000000
0,0,0.5379914422,0.1320760791,0.8455771075,0.8742600663,0.8585545974,0.5166566336,0.1424097384,0.6355392961,0.2168263468,0.4916820931,0.04051409984,0.1670128448,0.07246092487,0.5422853082,0.3563517753,0.1298941957,0.3313653243,0.8554187143,0.03881923598,0,0,1,0,0.5286343612,0.8979591837,0.8265306122,0.5862068966,0.9578947368,0.9479166667,0.5833333333,0,0.3333333333,0.4468085106,0.0000000
0,0,0.5123266693,0.1226022192,0.8458049185,0.9300425078,0.9073873799,0.498885316,0.7491104288,0.4672372227,0.2261944294,0.4526728697,0.04722996594,0.1094635627,0.07737509034,0.577188902,0.3636368748,0.1373813919,0.2970479614,0.8413425475,0.03955500618,0.0003598416697,0,1,0,0.4845814978,0.8979591837,0.8265306122,0.5948275862,0.9578947368,0.9479166667,0.5833333333,0,0.3333333333,0.4468085106,0.0000000
0,0,0.571124534,0.1269819986,0.7915345929,0.8716883837,0.8589705427,0.5447695735,0.4736110093,0.2862370791,0.2301152184,0.266693138,0.05074207867,0.1153331423,0.07828180465,0.6203326515,0.4367503532,0.1166496513,0.3092250979,0.9098057618,0.04065866149,0.001351600418,0,1,0,0.2863436123,0.8979591837,0.8265306122,0.5948275862,0.9578947368,0.9479166667,0.5833333333,0,0.3333333333,0.4468085106,0.0000000
0,0,0.6206261609,0.1490230566,0.7844341471,0.8199697604,0.8097920106,0.5683647446,0.6924224199,0.5887788845,0.2231209107,0.06866750735,0.03136407382,0.1232504736,0.07422392902,0.6537904261,0.5765307737,0.1028679962,0.6302582893,1,0.03881923598,0.0005090443132,0,1,0,0.07488986784,0.8979591837,0.8265306122,0.5948275862,0.9578947368,0.9479166667,0.5833333333,0,0.3333333333,0.4468085106,0.0000000
0,0,0.622907933,0.1410300391,0.9072864764,1,1,0.6586558851,0.8914096896,0.5887788845,0.2359516819,0.5994584299,0.04106539297,0.1232504736,0.07422392902,0.6640283104,0.5643822737,0.1131512732,0.6302582893,1,0.03881923598,0.0001053195131,0,1,0,0.6431718062,0.8979591837,0.8265306122,0.5948275862,0.9578947368,0.9479166667,0.5833333333,0,0.3333333333,0.4468085106,0.0000000
0,0,0.7040146363,0.006587139497,0.03800793095,0.0007221623464,0,0.3201119344,0.3247938807,0.02862090851,0.03893728679,0.7488218977,0.1469393691,0.2616637234,0.1231894904,0.7914128809,0.3612581832,0.003032102985,0.4841328632,0.08126290813,0.1254038416,0.08906602224,0,0,1,0.6878450692,0.9387755102,0.9285714286,0.06034482759,0.9578947368,1,0.3333333333,0.6666666667,0,0.09574468085,0
0,0,0.7035423837,0.004116795578,0.04534707842,0.001237384286,0.0003005144333,0.3211265007,0.3246217005,0.02342944988,0.03955560438,0.7690744573,0.1289866515,0.2190900807,0.1989581359,0.7908412257,0.3832369957,0.00300672103,0.4907749232,0.08964888666,0.125286033,0.08898664585,0,0,1,0.691097334,0.9387755102,0.9285714286,0.06896551724,0.9578947368,1,0.3333333333,0.6666666667,0,0.09574468085,0
0,0,0.7031257539,0.00457551028,0.05086533486,0.00130572936,0.001031069144,0.3256763864,0.3243424695,0.09305890977,0.03975045824,0.6321684487,0.1155682302,0.3030322011,0.1937469808,0.790623002,0.405432527,0.003036875336,0.4929889432,0.08697800132,0.125054255,0.08883109891,0,0,1,0.7128010437,0.8979591837,0.806122449,0,0.9368421053,0.9479166667,0.3333333333,0.6666666667,0,0.09574468085,0
0,0,0.7029450839,0.006213076145,0.0826228303,0.003366463687,0.00305445179,0.3294611304,0.3237113213,0.01678501852,0.04137843447,0.9479691977,0.05322903703,0.3198626371,0.1485439799,0.7911975103,0.2836145158,0.004888505071,0.4321033139,0.0873524191,0.1246994386,0.08859592121,0,0,1,0.7224171094,0.8979591837,0.8163265306,0.008620689655,0.9368421053,0.9479166667,0.3333333333,0.6666666667,0,0,0
0,0,0.7035453916,0.001013632674,0.0918945081,0.007015822089,0.00442136943,0.340229362,0.3239862423,0.01647248087,0.04217687311,0.7265916435,0.2084385805,0.2397490088,0.6178248588,0.7945330431,0.3390747828,0.008332801719,0.4442804503,0.09479595444,0.124548645,0.08852151274,0,0,1,0.7209528349,0.8979591837,0.8163265306,0.01724137931,0.9368421053,0.9479166667,0.3333333333,0.6666666667,0,0.08510638298,0
0,0,0.7048948513,0.003287555566,0.08826030988,0.007448300142,0.005208386257,0.356102806,0.3242250615,0.01676345345,0.04385853302,0.657878662,0.2153958759,0.266897855,0.2314479316,0.7947660112,0.4531103812,0.009420411402,0.4476014539,0.08461985874,0.1246698679,0.08863378688,0,0,1,0.7324593351,0.8979591837,0.8163265306,0.02586206897,0.9368421053,0.9479166667,0.3333333333,0.6666666667,0,0.08510638298,0
