"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,Real effective exchange rate index (2010 = 100),General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.302673712,0.858634251,0.805683609,0.02852112,0.217413506,0.163390986,0.130538042,0.105904183,0.519877857,0.468670057,0.412460419,0.384654824,0.733728025,0.0328811,0.051524596,0.214325046,0.576863606,0.730069509,0.640890447,0.415799377,0.398841748,0.57096776,0.124271131,0.283267104,0.153014729,0,0,1,0.740112994,0.4,0.7,0,4,7,0.4,1,0.25,6,1
0.520311996,0.642857949,1,0.081309245,0.453928266,0.141825277,0.161918618,0.600047738,0.694311926,0.6263925,0.215712612,0.253591187,0.105013811,0.250015064,0.261381173,0.290352205,0.096156117,0.637356929,0.115217632,0.243118996,0.192609563,1,0.133202819,1,0.415739465,0,0,0,0.107344633,0.4,0.7,0,4,7,0.4,1,0.25,3,1
0.731523788,0.513546469,0.739854808,0.094225426,0.516017645,0.179874588,0.200223718,0.583609647,0.455694061,0.512139682,0.276544355,0.293363375,0.836281837,0.245205957,0.177031742,0.258999438,0.085330685,0.547057893,0.247727306,0.161754993,0.254989998,0.737096752,0.148128022,0.588412139,0.273550917,0,0,0,0.847457627,0.4,0.7,0,4,7,0.4,1,0.25,3,1
0.66536073,0.505364771,0.56621256,0.141000648,0.491143016,0.220680906,0.228859295,0.49573498,0.550133092,0.603627257,0.355877196,0.363245941,0.840401144,0.138683601,0.121828132,0.452105735,0.088328052,0.483075968,0.430706602,0.188512918,0.342818454,0.538709649,0.30659951,0.333988183,0.167152344,0,0,0,0.847457627,0.6,0.8,0,5,7,0.36,1,0.25,3,0
0.210910405,0.419351561,0.799596935,0.155992925,0.524758279,0.251642092,0.243714466,0.352144566,0.583748676,0.564415006,0.385156251,0.383630385,0.74620146,0.102301042,0.09836723,0.197114702,0.075594101,0.376984862,0.441763521,0.241604397,0.386345852,0.456451623,0.223756603,0.409325654,0.157518279,0,0,0,0.757062147,0.6,0.8,1,5,7,0.36,1,0.25,1,0
0.235832652,0.340044785,0.697617419,0.15590881,0.519029125,0.283131783,0.279026842,0.419385611,0.488850215,0.536498083,0.429328316,0.441240127,0.611284042,0.107391574,0.103130865,0.205521694,0.096004897,0.345514934,0.561608292,0.36142788,0.444747568,0.274193537,0.126877318,0.362608087,0.116694924,0,0,0,0.621468927,0.6,0.8,2,6,7,0.4,1,0.25,2,0
0.388951147,0.267967559,0.64875864,0.174522768,0.546522845,0.348732142,0.340568238,0.389194214,0.575502034,0.612774167,0.524302851,0.525371434,0.733804879,0.052444363,0.068096356,0.055148308,0.072810844,0.572342845,0.686664935,0.424925629,0.539013999,0.282258084,0.079202757,0.240910241,0.081249338,0,0,0,0.740112994,0.8,0.9,3,6,8,0.28,1,0,18,0
0.301265708,0.130820616,0.690153328,0.220634462,0.46673123,0.337725518,0.324539246,0.418084929,0.543457666,0.995615782,0.586439847,0.563501116,0.43452216,0.028248698,0.031928829,0.206144347,0.066201939,0.788924262,0.793360628,0.493929957,0.534251849,0.279032281,0,0.167090831,0.059817739,0,0,0,0.440677966,0.8,0.9,4,6,8,0.2,1,0,18,0
0.198079011,0.373106524,0.55586723,0.249872671,0.45963841,0.339656114,0.329555819,0.480730768,0.613073399,0.616765434,0.600547722,0.575534015,0.454927135,0.017892843,0.02812063,0.117012023,0.051976282,0.933066715,0.793844524,0.587579209,0.5266014,0.338709683,0.073573384,0.085219747,0.033573523,0,0,0,0.463276836,0.8,0.9,5,6,8,0.2,1,0.25,18,0
0.13838904,0.34370284,0.566496607,0.291635347,0.512782858,0.343498688,0.336363915,0.573505853,0.543843329,0.583753113,0.578020484,0.542115498,0.538116792,0.014145345,0.017760826,0.144654642,0.031753686,1,0.610388471,0.711304579,0.509759371,0.412903238,0.091229433,0.063996666,0.026456148,0,0,0,0.542372881,0.8,0.9,6,6,8,0.2,1,0.25,18,0
0.160736112,0.26169392,0.44811999,0.317533771,0.562483316,0.395016226,0.383408121,0.58471392,0.550485084,0.785128364,0.593235189,0.583452421,0.676607415,0.015241405,0.045517852,0.168620958,0.031070672,0.995499623,0.550270498,0.608243043,0.568937422,0.490322597,0.069555385,0.071423256,0.022314648,0,0,0,0.683615819,0.8,0.9,7,6,8,0.2,1,0,18,0
0.096530736,0.290047607,0.592695505,0.367049638,0.569331131,0.444853559,0.437350625,0.579465901,0.723929332,0.696453186,0.673508435,0.657865062,0.586333916,0.009816811,0.030742978,0.148703433,0.029655306,0.963035928,0.604879183,0.614733532,0.648799753,0.429032255,0.114857213,0.111726273,0.030385716,0,0,0,0.593220339,0.8,0.9,8,6,8,0.2,1,0,18,0
0.175013124,0.380159193,0.502504447,0.378120203,0.601974228,0.514423821,0.507236207,0.609346784,0.603973419,0.521720444,0.73951095,0.734368051,0.708763592,0.007039346,0.034389661,0.127502635,0.033380841,0.888765012,0.606249992,0.581300675,0.754543267,0.430645157,0.231451385,0.072735958,0.028690262,0,0,0,0.717514124,0.8,0.9,9,6,8,0.2,1,0,18,0
0.046922325,0.326101274,0.52438651,0.432257526,0.612618265,0.565477915,0.551950238,0.555807012,0.600557279,0.71255408,0.799115767,0.794773792,0.58541811,0.009652543,0.03014244,0.149863746,0.029229876,0.805649233,0.584451036,0.592796341,0.832011929,0.440322606,0.312305257,0.073611049,0.027718908,0,0,0,0.593220339,0.8,0.9,10,6,8,0.12,0,0,18,0
0.017563543,0.261261126,0.549501418,0.472300347,0.627492266,0.613234088,0.585997914,0.499010585,0.422084042,0.636854403,0.836777877,0.839539681,0.521168057,0.018622901,0.032856045,0.141781543,0.026998501,0.782335193,0.551653434,0.653923693,0.929134777,0.479032247,0.285546525,0.094059047,0.025996962,0,0,0,0.525423729,0.8,0.9,11,6,8,0.16,0,0,18,0
0.045832467,0.298361026,0.571148481,0.494592766,0.600081102,0.474953377,0.464701472,0.560683734,0.75758125,0.497903728,0.702732768,0.67549952,0.161294637,0.019958022,0.017111227,0.158773087,0.014447352,0.707623709,0.362049941,0.877857401,0.7137383,0.719354871,0.358098626,0.064755696,0.015064816,0,0,0,0.163841808,0.8,0.9,12,6,8,0.16,0,0,18,0
0,0.459955215,0.490091313,0.597864599,0.672690484,0.60348299,0.598802693,0.599092478,0.291468926,0.693291863,0.812725974,0.798762609,0.74363747,0.01112325,0.021339535,0.166793967,0.014356293,0.652102596,0.465004903,0.850399398,0.822056384,0.709677461,0.382824233,0.03289131,0.006605207,0,0,0,0.751412429,0.8,0.9,13,6,8,0.16,0,0,18,0
