"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,Real effective exchange rate index (2010 = 100),General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.340238094,0.908959914,0.406966896,0.115118201,0.441804844,0.209595255,0.168029015,0.144224854,0.166608574,0.256769099,0.24922926,0.25995975,0.747105839,0.235907731,0.381681949,0.377150514,0.254245809,0.315906374,0.797000349,0.204574817,0.470598145,0.215384622,0.314931291,0.55378181,0.60843688,0,0,1,0.746411483,0.9,0.95,2,7,8,0.309090909,3,0.5,13,0
0.275318634,0.896567189,0.481702121,0.141936939,0.522035387,0.272594858,0.211419308,0.024133227,0.103152037,0.295942421,0.286374535,0.302037004,0.75299867,0.266463506,0.423824752,0.660877225,0.239883489,0.295875645,0.734914545,0.226726861,0.563702369,0.171005924,0.325922543,0.720193214,0.843374752,0,0,1,0.751196172,0.9,0.95,3,7,8,0.4,3,0.5,13,0
0.312485989,0.844967969,0.599899339,0.148991359,0.470335079,0.276674568,0.214814591,0.023977177,0.121535032,0.303309969,0.31644161,0.327654325,0.635019831,0.265944894,0.358996394,0.374500035,0.261394404,0.291134216,0.973840251,0.263992624,0.61568347,0.165680485,0.299681648,0.730501885,0.749399603,0,0,1,0.636363636,0.9,0.95,4,7,8,0.32,2,0.5,13,1
0.414947053,0.619563897,0.593596238,0.102403451,0.571977675,0.234126723,0.217945235,0.3095786,0.086903875,0.481203411,0.256216071,0.266472145,0.233267627,0.258833441,0.371749211,0.733564012,0.480779938,0.297189638,0.69584932,0.319789023,0.415328121,0.130177518,0.274708178,0.748173893,0.763495876,1,0,1,0.229665072,0.9,0.95,5,7,8,0.32,2,0.5,13,1
0.518720692,0.439645145,0.402679604,0.113073108,0.620911494,0.158663826,0.197847383,1,0.266868481,1,0.182740746,0.198491826,0,0.352786511,0.515553307,0.352363536,0.292459078,0.824641577,0.15940007,0.429317212,0.194040103,0.579289961,0.256732158,0.802662583,0.77289339,0,0,0,0,0.9,0.95,6,7,8,0.32,2,0.5,13,1
0.639377457,0.321122897,0.789196755,0.134196993,0.625304537,0.18578492,0.215036767,0.870955376,0.287154638,0.781619688,0.230600439,0.222688542,0.583417259,0.047003734,0.095470037,0.100245413,0.271068749,0.690412186,0.274502965,0.485670795,0.19958914,0.502958588,0.250570315,0.418296419,0.331210191,0,0,0,0.583732057,0.9,0.95,7,7,8,0.32,2,0.5,13,0
0.442696556,0.161203799,0.437434644,0.125941574,0.819501962,0.23769807,0.246983904,0.754964441,0.312995544,0.490623074,0.220767703,0.222173023,0.577822198,0.098849672,0.249754275,0.144828175,0.301571761,0.538172043,0.142309034,0.486442877,0.2112806,0.400000021,0.267684793,0.337299717,0.220006265,0,0,0,0.578947368,0.9,0.95,8,7,8,0.28,2,0.5,13,0
0.767000469,0.190407574,0.362217156,0.127308412,0.809788264,0.228295458,0.229076761,0.606432224,0.320817918,0.699834648,0.208117391,0.210821403,0.529500297,0.100235399,0.272908038,0.605973103,0.325012529,0.287992832,0,0.475110054,0.209414904,0.437278092,0.29184972,0.2975377,0.163621176,0,0,0,0.52631579,0.9,0.95,9,7,8,0.28,2,0.5,13,0
0.690673586,0.169968114,0.379594676,0.150262708,0.759821385,0.243130417,0.245441093,0.569644796,0.352209698,0.466992236,0.23454847,0.23690058,0.658778938,0.063366975,0.263943365,0,0.255712085,0.130376344,0.08231601,0.441367593,0.22910364,0.29881658,0.323353191,0.177564405,0,0,0,0,0.655502392,0.9,0.95,10,7,8,0.24,1,0.5,13,0
0.415816404,0.164204325,0.33227973,0.162484658,0.776071505,0.280681626,0.282812044,0.553883439,0.286151203,0.594993416,0.266506378,0.270382908,0.70849693,0.107272806,0.28206784,0.198612806,0.264230247,0.094086022,0.018137426,0.413798759,0.275722795,0.249112422,0.357113286,0.069512701,0,0,0,0,0.708133971,0.9,0.95,11,7,8,0.28,1,0.5,13,0
0.253344084,0.190893677,0.084249428,0.193083202,0.877161559,0.356128328,0.345026483,0.480875596,0.148081092,0.58871821,0.299858321,0.308772633,0.665485041,0.145140653,0.338116656,0.180405279,0.220406934,0.025089606,0.005929543,0.434812122,0.341088939,0.243786983,0.393869227,0.105425577,0.055113493,0,0,0,0.66507177,0.9,0.95,12,7,8,0.32,1,0.5,13,0
0.350003831,0.414393847,0,0.201256747,0.975638686,0.441911098,0.392160007,0.213436366,0,0.717033485,0.324244757,0.339355441,0.565031513,0.21578478,0.398215484,0.192615411,0.228594745,0,0.044645971,0.495116392,0.419336832,0.215384622,0.422759136,0.117178374,0.096819451,0,0,0,0.564593301,0.9,0.95,13,7,8,0.32,1,0.5,13,0
0.196695432,0.446575002,0.094771569,0.260141223,0.94011333,0.488006396,0.461759325,0.454657712,0.068758588,0.674042678,0.382148672,0.399765083,0.602320821,0.219636022,0.398715174,0.275390429,0.17127279,0.075537634,0.294035577,0.478211131,0.477712832,0.1923077,0.446826325,0.227059893,0.298724643,0,0,0,0.602870813,0,0.25,0,3,3,0.28,1,0.5,1,0
0.281297483,0.465087412,0.248153131,0.340518245,0.900374273,0.540113841,0.549700612,0.686505163,0.452309503,0.574415755,0.468740987,0.476459125,0.624657952,0.124612033,0.29485071,0.19890759,0.120520236,0.238978495,0.718521102,0.525531947,0.538823861,0.185207094,0.011031802,0.210996821,0.186109297,0,0,0,0.622009569,0.2,0.45,0,4,3,0.28,1,0.5,1,0
0.145270797,0.510318108,0.065164481,0.435049506,1,0.678405865,0.632144476,0.420264509,0.275385786,0.527778934,0.50636173,0.529421518,0.447360067,0.252594523,0.399882454,0.315982958,0.074351859,0.363799283,0.504011162,0.571994605,0.622462586,0.185207094,0,0.195114623,0.163195002,0,0,0,0.444976077,0.5,0.7,0,5,7,0.28,1,0.25,1,0
0.104979016,0.813443632,0.318269746,0.543222048,0.800371089,0.519961722,0.55103133,0.779090691,0.300966657,0.438327221,0.515280196,0.511409091,0.331869204,0.002169783,0.204895108,0.21947123,0.010729064,0.459677419,0.37914196,0.754951482,0.523671682,0.24023669,0.058995941,0.121182673,0.049367932,0,0,0,0.330143541,0.5,0.7,1,5,7,0.32,1,0.5,4,0
0.029293565,1,0.038587917,0.672468882,0.875639877,0.699313807,0.689219056,0.564982899,0.070581593,0.714821959,0.601915449,0.622014324,0.723989948,0.164512409,0.358319262,0.387476046,0,0.592562724,0.561911406,0.734932802,0.661901259,0.08579882,0.182790043,0.089941559,0.062729895,0,0,0,0.722488038,0.5,0.7,2,5,7,0.28,1,0.25,4,0
0,0.807144552,0.105359305,0.671899369,0.992817405,0.862102928,0.799006559,0.525802846,0.014368676,0.22105157,0.657927036,0.677348819,0.405033308,0.186769984,0.344979642,0.555463761,0.053757819,0.653405018,0.530868504,0.773014742,0.77722469,0.092899415,0.455944054,0.141793187,0.157335632,0,0,0,0.401913876,0.7,0.85,0,6,8,0.28,1,0.25,4,0
0.055203866,0.757463701,0.230695362,0.695849401,0.973951236,0.923296959,0.833747155,0.346581808,0.134575191,0.569147887,0.720102884,0.727142776,0.711056557,0.155283843,0.272576896,0.364660246,0.06930684,0.608870968,0.545169166,0.796603528,0.872262332,0.078698224,0.55766392,0.15025783,0.168017958,0,0,0,0.708133971,0.7,0.85,1,6,8,0.28,1,0.25,3,0
0.034137266,0.802830391,0.23118492,0.647455679,0.924791252,0.927452762,0.858849936,0.305310447,0.489530428,0.642981836,0.763188891,0.769554718,0.49333033,0.122365075,0.267428885,0.241843796,0.135870398,0.668369176,0.735612138,0.797776563,0.867142288,0.020118345,0.669891369,0.141288897,0.155455818,0,0,0,0.492822967,0.7,0.85,2,6,8,0.24,1,0.25,3,0
0.180672935,0.732400479,0.246270416,0.606824063,0.910109467,0.860180054,0.847411011,0.540812522,0.804567943,0.295920257,0.741750164,0.745357545,0.411932063,0.11087366,0.254113371,0.134370238,0.159365928,0.732258065,0.627833973,0.859526363,0.815616775,0.078698224,0.728474328,0.133422631,0.10433635,0,0,0,0.411483254,0,0.35,0,3,4,0.2,1,0.25,3,0
0.101595422,0.77272964,0.280069193,0.606874945,0.852903354,0.77499773,0.82551011,0.733472183,1,0.43140986,0.7359726,0.734104141,0.51467382,0,0.225714046,0.12583777,0.156999082,0.76218638,0.678409487,0.882399049,0.798906761,0.082248527,0.798184575,0.118063736,0.080302728,0,0,0,0.511961723,0,0.35,1,3,4,0.2,1,0.25,5,0
0.042073102,0.753786103,0.138206233,0.66693091,0.812686004,0.74651986,0.843295157,0.90405353,0.403940022,0.244858428,0.743635115,0.756580559,0.529065767,0.043173448,0.301279079,0.117239486,0.120611905,0.771146953,0.565748169,0.853810335,0.79553896,0.098224854,0.740548144,0.099435358,0.070298268,0,0,0,0.52631579,0,0.35,2,3,4,0.2,1,0.25,5,0
0.029828065,0.852279764,0.182433642,0.787772968,0.815668048,0.835715212,0.925790781,0.862396035,0.375852278,0.376148532,0.828754354,0.836638752,0.564555587,0.062110645,0.27221371,0.149042664,0.089262559,0.80609319,0.681199861,0.790507696,0.856912884,0.123076922,0.711565396,0.095776355,0.069457717,0,0,0,0.564593301,0,0.35,3,3,4,0.28,2,0.25,5,0
0.05837947,0.685445276,0.196005762,0.800581077,0.815200628,0.959248008,1,0.671409612,0.537241934,0.482382766,0.926319316,0.930490091,0.566715464,0.077906072,0.253604912,0.13516224,0.121874283,0.818727599,0.784792466,0.776609486,0.939600135,0.112426034,0.701471931,0.076696513,0.069332776,0,0,0,0.564593301,0,0.35,4,3,4,0.32,2,0.25,5,0
0.149886083,0.584078401,0.220348487,0.871239697,0.709825985,0.922277425,0.985340422,0.737104935,0.664815254,0.249866917,1,1,0.467719221,0.063740562,0.236569917,0.093722786,0.116995037,0.914336918,1,0.776606257,1,0.103550303,0.687798988,0.072278511,0.079043542,0,0,0,0.468899522,0,0.35,5,3,4,0.336,2.3,0.25,5,0
0.082960843,0.682247993,0.324759596,1,0.598130763,0.780293433,0.783608525,0.597793649,0.810425043,0,0.9390365,0.917318897,0.068757091,0.002161016,0.14514632,0.082520693,0.100233328,0.96953405,0.893268225,0.962763004,0.94516503,0.171005924,1,0.016317154,0.019275347,0,0,0,0.066985646,0,0.35,6,3,4,0.368,2.6,0.25,5,0
0.066449619,0.638123842,0.098039631,0.93141501,0.775971997,1,0.896248114,0.305788208,0.77288681,0.093865458,0.92061916,0.929050671,0.439741179,0.084509465,0.271286365,0.067535902,0.093113831,1,0.68433903,1,0.971415257,0.161242614,0.988116796,0,0.003142947,0,0,0,0.440191388,0,0.35,7,3,4,0.4,2.9,0.25,5,0
